,"x",,,,,,"zeros",,,,
"1",0.7740915963,0,-1,-1,-1,-1,0,,,,
"2",0.7265446194,0,-1,-1,-1,-1,0,,,,
"3",0.756321514,0,-1,-1,-1,-1,0,,,,
"4",0.6780370974,0,-1,-1,-1,-1,0,,,,
"5",0.7342289793,0,-1,-1,-1,-1,0,,,,
"6",0.9128903472,-1,1,-1,-1,-1,1,1,,,
"7",0.924637599,-1,1,-1,-1,-1,1,1,,,
"8",0.7829572132,0,-1,-1,-1,-1,0,,,,
"9",0.8132143804,-1,1,-1,-1,-1,1,1,,,
"10",0.9068675168,-1,1,-1,-1,-1,1,1,,,
"11",0.8365516776,-1,1,-1,-1,-1,1,1,,,
"12",0.7884997711,0,-1,-1,-1,-1,0,,,,
"13",0.5274742152,0,-1,-1,-1,-1,0,,,,
"14",3.5412910138,-1,-1,-1,-1,4,4,,,,4
"15",1.9928924921,-1,-1,-1,3,-1,3,,,3,
"16",2.087986446,-1,-1,-1,3,-1,3,,,3,
"17",0.8663039152,-1,1,-1,-1,-1,1,1,,,
"18",1.8419053812,-1,-1,-1,3,-1,3,,,3,
"19",1.9797435871,-1,-1,-1,3,-1,3,,,3,
"20",0.6620851399,0,-1,-1,-1,-1,0,,,,
"21",0.5410564714,0,-1,-1,-1,-1,0,,,,
"22",-0.2166674161,0,-1,-1,-1,-1,0,,,,
"23",-0.1422251795,0,-1,-1,-1,-1,0,,,,
"24",-0.0091896985,0,-1,-1,-1,-1,0,,,,
"25",1.2966280701,-1,-1,2,-1,-1,2,,2,,
"26",1.3139178799,-1,-1,2,-1,-1,2,,2,,
"27",0.8466127429,-1,1,-1,-1,-1,1,1,,,
"28",0.7798548662,0,-1,-1,-1,-1,0,,,,
"29",0.9885739682,-1,1,-1,-1,-1,1,1,,,
"30",1.0860692846,-1,1,-1,-1,-1,1,1,,,
"31",0.8344064976,-1,1,-1,-1,-1,1,1,,,
"32",0.8401697675,-1,1,-1,-1,-1,1,1,,,
"33",0.8776310221,-1,1,-1,-1,-1,1,1,,,
"34",0.6999301992,0,-1,-1,-1,-1,0,,,,
"35",1.342054524,-1,-1,2,-1,-1,2,,2,,
"36",1.1134448168,-1,1,-1,-1,-1,1,1,,,
"37",0.3588906063,0,-1,-1,-1,-1,0,,,,
"38",1.4011922876,-1,-1,2,-1,-1,2,,2,,
"39",0.4163437162,0,-1,-1,-1,-1,0,,,,
"40",1.0190856965,-1,1,-1,-1,-1,1,1,,,
"41",0.6199792538,0,-1,-1,-1,-1,0,,,,
"42",0.7169391695,0,-1,-1,-1,-1,0,,,,
"43",0.4311563567,0,-1,-1,-1,-1,0,,,,
"44",0.7904208611,0,-1,-1,-1,-1,0,,,,
"45",0.9042454423,-1,1,-1,-1,-1,1,1,,,
"46",0.7384484665,0,-1,-1,-1,-1,0,,,,
"47",0.8714839474,-1,1,-1,-1,-1,1,1,,,
"48",3.3355271587,-1,-1,-1,-1,4,4,,,,4
"49",3.4719245471,-1,-1,-1,-1,4,4,,,,4
"50",0.165680467,0,-1,-1,-1,-1,0,,,,
"51",0.1575158346,0,-1,-1,-1,-1,0,,,,
"52",0.6938860898,0,-1,-1,-1,-1,0,,,,
"53",0.8542971029,-1,1,-1,-1,-1,1,1,,,
"54",1.5748367938,-1,-1,2,-1,-1,2,,2,,
"55",1.2833113898,-1,-1,2,-1,-1,2,,2,,
"56",0.4599391227,0,-1,-1,-1,-1,0,,,,
"57",0.7639516116,0,-1,-1,-1,-1,0,,,,
"58",0.8681888728,-1,1,-1,-1,-1,1,1,,,
"59",0.7649664189,0,-1,-1,-1,-1,0,,,,
"60",0.334742997,0,-1,-1,-1,-1,0,,,,
"61",0.4072641436,0,-1,-1,-1,-1,0,,,,
"62",0.9369039719,-1,1,-1,-1,-1,1,1,,,
"63",-0.3285709072,0,-1,-1,-1,-1,0,,,,
"64",1.6020813765,-1,-1,2,-1,-1,2,,2,,
"65",1.2995097051,-1,-1,2,-1,-1,2,,2,,
"66",1.4844146154,-1,-1,2,-1,-1,2,,2,,
"67",1.4459928158,-1,-1,2,-1,-1,2,,2,,
"68",1.0113462085,-1,1,-1,-1,-1,1,1,,,
"69",0.9935761262,-1,1,-1,-1,-1,1,1,,,
"70",0.9940563987,-1,1,-1,-1,-1,1,1,,,
"71",0.928259067,-1,1,-1,-1,-1,1,1,,,
"72",0.9724441364,-1,1,-1,-1,-1,1,1,,,
"73",0.7078139921,0,-1,-1,-1,-1,0,,,,
"74",0.8274464079,-1,1,-1,-1,-1,1,1,,,
"75",0.7318721816,0,-1,-1,-1,-1,0,,,,
"76",0.8374875656,-1,1,-1,-1,-1,1,1,,,
"77",0.7773505386,0,-1,-1,-1,-1,0,,,,
"78",0.8586195553,-1,1,-1,-1,-1,1,1,,,
"79",0.7356697968,0,-1,-1,-1,-1,0,,,,
"80",1.8869620633,-1,-1,-1,3,-1,3,,,3,
"81",0.9138508921,-1,1,-1,-1,-1,1,1,,,
"82",0.9378645169,-1,1,-1,-1,-1,1,1,,,
"83",1.0329584707,-1,1,-1,-1,-1,1,1,,,
"84",-0.0673307211,0,-1,-1,-1,-1,0,,,,
"85",0.0498557675,0,-1,-1,-1,-1,0,,,,
"86",0.0580203999,0,-1,-1,-1,-1,0,,,,
"87",-0.1600233125,0,-1,-1,-1,-1,0,,,,
"88",-0.1845172097,0,-1,-1,-1,-1,0,,,,
"89",1.4618569007,-1,-1,2,-1,-1,2,,2,,
"90",0.8005065835,-1,1,-1,-1,-1,1,1,,,
"91",0.8240399357,-1,1,-1,-1,-1,1,1,,,
"92",0.8931991749,-1,1,-1,-1,-1,1,1,,,
"93",0.1417829466,0,-1,-1,-1,-1,0,,,,
"94",0.8961936295,-1,1,-1,-1,-1,1,1,,,
"95",-0.2968729226,0,-1,-1,-1,-1,0,,,,
"96",0.8562181928,-1,1,-1,-1,-1,1,1,,,
"97",0.8264412982,-1,1,-1,-1,-1,1,1,,,
"98",0.9976390182,-1,1,-1,-1,-1,1,1,,,
"99",-0.2795831128,0,-1,-1,-1,-1,0,,,,
"100",-0.2944715601,0,-1,-1,-1,-1,0,,,,
"101",-0.2474048557,0,-1,-1,-1,-1,0,,,,
"102",-0.3112810974,0,-1,-1,-1,-1,0,,,,
"103",-0.2181082336,0,-1,-1,-1,-1,0,,,,
"104",-0.2421218583,0,-1,-1,-1,-1,0,,,,
"105",1.6726814331,-1,-1,2,-1,-1,2,,2,,
"106",0.6818792774,0,-1,-1,-1,-1,0,,,,
"107",0.4966040708,0,-1,-1,-1,-1,0,,,,
"108",1.1557548886,-1,1,-1,-1,-1,1,1,,,
"109",0.6001869319,0,-1,-1,-1,-1,0,,,,
"110",-0.2325164084,0,-1,-1,-1,-1,0,,,,
"111",0.312495467,0,-1,-1,-1,-1,0,,,,
"112",1.2447628489,-1,-1,2,-1,-1,2,,2,,
"113",0.2441144043,0,-1,-1,-1,-1,0,,,,
"114",0.7856181362,0,-1,-1,-1,-1,0,,,,
"115",0.2977006761,0,-1,-1,-1,-1,0,,,,
"116",0.3735837302,0,-1,-1,-1,-1,0,,,,
"117",0.3779061826,0,-1,-1,-1,-1,0,,,,
"118",0.302503401,0,-1,-1,-1,-1,0,,,,
"119",0.3514911954,0,-1,-1,-1,-1,0,,,,
"120",0.3731034577,0,-1,-1,-1,-1,0,,,,
"121",0.3985578999,0,-1,-1,-1,-1,0,,,,
"122",0.6544554752,0,-1,-1,-1,-1,0,,,,
"123",0.7913814061,0,-1,-1,-1,-1,0,,,,
"124",1.8056862778,-1,-1,-1,3,-1,3,,,3,
"125",0.0793475224,0,-1,-1,-1,-1,0,,,,
"126",0.2119027308,0,-1,-1,-1,-1,0,,,,
"127",0.0817488849,0,-1,-1,-1,-1,0,,,,
"128",0.6475542753,0,-1,-1,-1,-1,0,,,,
"129",0.7688697194,0,-1,-1,-1,-1,0,,,,
"130",0.9076684703,-1,1,-1,-1,-1,1,1,,,
"131",0.6620851399,0,-1,-1,-1,-1,0,,,,
"132",2.0039769757,-1,-1,-1,3,-1,3,,,3,
"133",0.8120331234,-1,1,-1,-1,-1,1,1,,,
"134",0.800026311,-1,1,-1,-1,-1,1,1,,,
"135",0.8413297455,-1,1,-1,-1,-1,1,1,,,
"136",0.7625650564,0,-1,-1,-1,-1,0,,,,
